TIME,VALUE
1703490034280,0
1703490034300,0
1703490034320,0
1703490034340,0
1703490034360,0
1703490034380,0
1703490034400,0
1703490034420,0
1703490034440,0
1703490034460,0
1703490034480,0
1703490034500,0
1703490034520,0
1703490034540,0
1703490034560,0
1703490034580,0
1703490034600,0
1703490034620,0
1703490034640,0
1703490034660,0
1703490034680,0
1703490034700,0
1703490034720,0
1703490034740,0
1703490034760,0
1703490034780,0
1703490034800,0
1703490034820,0
1703490034840,0
1703490034860,0
1703490034880,0
1703490034900,0
1703490034920,0
1703490034940,0
1703490034960,0
1703490034980,0
1703490035000,0
1703490035020,0
1703490035040,0
1703490035060,0
1703490035080,0
1703490035100,0
1703490035120,0
1703490035140,0
1703490035160,0
1703490035180,0
1703490035200,0
1703490035220,0
1703490035240,0
1703490035260,0
1703490035280,0
1703490035300,0
1703490035320,0
1703490035340,0
1703490035360,0
1703490035380,0
1703490035400,0
1703490035420,0
1703490035440,0
1703490035460,0
1703490035480,0
1703490035500,0
1703490035520,0
1703490035540,0
1703490035560,0
1703490035580,0
1703490035600,0
1703490035620,32
1703490035640,0
1703490035660,0
1703490035680,128
1703490035700,61
1703490035720,73
1703490035740,79
1703490035760,85
1703490035780,250
1703490035800,82
1703490035820,54
1703490035840,69
1703490035860,110
1703490035880,80
1703490035900,96
1703490035920,134
1703490035940,113
1703490035960,139
1703490035980,265
1703490036000,208
1703490036020,208
1703490036040,157
1703490036060,161
1703490036080,208
1703490036100,223
1703490036120,191
1703490036140,198
1703490036160,239
1703490036180,249
1703490036200,240
1703490036220,227
1703490036240,240
1703490036260,227
1703490036280,241
1703490036300,246
1703490036320,251
1703490036340,250
1703490036360,251
1703490036380,250
1703490036400,240
1703490036420,235
1703490036440,237
1703490036460,241
1703490036480,228
1703490036500,227
1703490036520,238
1703490036540,343
1703490036560,376
1703490036580,379
1703490036600,218
1703490036620,224
1703490036640,208
1703490036660,208
1703490036680,166
1703490036700,180
1703490036720,62
1703490036740,120
1703490036760,131
1703490036780,135
1703490036800,117
1703490036820,311
1703490036840,380
1703490036860,378
1703490036880,382
1703490036900,381
1703490036920,375
1703490036940,45
1703490036960,51
1703490036980,53
1703490037000,50
1703490037020,0
1703490037040,0
1703490037060,0
1703490037080,14
1703490037100,0
1703490037120,360
1703490037140,370
1703490037160,377
1703490037180,368
1703490037200,368
1703490037220,0
1703490037240,0
1703490037260,0
1703490037280,0
1703490037300,0
1703490037320,0
1703490037340,0
1703490037360,0
1703490037380,0
1703490037400,0
1703490037420,0
1703490037440,0
1703490037460,0
1703490037480,0
1703490037500,0
1703490037520,0
1703490037540,0
1703490037560,0
1703490037580,122
1703490037600,295
1703490037620,0
1703490037640,0
1703490037660,0
1703490037680,0
1703490037700,0
1703490037720,3
1703490037740,225
1703490037760,215
1703490037780,220
1703490037800,223
1703490037820,214
1703490037840,0
1703490037860,0
1703490037880,0
1703490037900,0
1703490037920,0
1703490037940,0
1703490037960,0
1703490037980,0
1703490038000,0
1703490038020,0
1703490038040,0
1703490038060,0
1703490038080,0
1703490038100,0
1703490038120,0
1703490038140,0
1703490038160,0
1703490038180,0
1703490038200,0
1703490038220,0
1703490038240,0
1703490038260,0
1703490038280,0
1703490038300,0
1703490038320,0
1703490038340,0
1703490038360,0
1703490038380,0
1703490038400,0
1703490038420,0
1703490038440,0
1703490038460,0
1703490038480,0
1703490038500,0
1703490038520,0
1703490038540,0
1703490038560,0
1703490038580,0
1703490038600,0
1703490038620,0
1703490038640,0
1703490038660,0
1703490038680,0
1703490038700,0
1703490038720,0
1703490038740,0
1703490038760,0
1703490038780,0
1703490038800,0
1703490038820,0
1703490038840,0
1703490038860,0
1703490038880,0
1703490038900,0
1703490038920,0
1703490038940,0
1703490038960,0
1703490038980,0
1703490039000,0
1703490039020,0
1703490039040,0
1703490039060,0
1703490039080,0
1703490039100,0
1703490039120,0
1703490039140,0
1703490039160,0
1703490039180,0
1703490039200,0
1703490039220,0
1703490039240,0
1703490039260,0
