TIME,VALUE
1702972906012,887
1702972906032,894
1702972906052,888
1702972906072,886
1702972906092,887
1702972906112,886
1702972906132,883
1702972906152,886
1702972906172,886
1702972906192,898
1702972906212,886
1702972906232,882
1702972906252,885
1702972906272,885
1702972906292,886
1702972906312,886
1702972906332,877
1702972906352,885
1702972906372,884
1702972906392,885
1702972906412,885
1702972906432,892
1702972906452,889
1702972906472,889
1702972906492,887
1702972906512,887
1702972906532,892
1702972906552,885
1702972906572,884
1702972906592,885
1702972906612,888
1702972906632,884
1702972906652,886
1702972906672,885
1702972906692,876
1702972906712,889
1702972906732,891
1702972906752,881
1702972906772,885
1702972906792,886
1702972906812,886
1702972906832,885
1702972906852,897
1702972906872,887
1702972906892,887
1702972906912,886
1702972906932,881
1702972906952,888
1702972906972,883
1702972906992,887
1702972907012,887
1702972907032,886
1702972907052,885
1702972907072,890
1702972907092,886
1702972907112,884
1702972907132,886
1702972907152,896
1702972907172,885
1702972907192,885
1702972907212,887
1702972907232,885
1702972907252,882
1702972907272,887
1702972907292,886
1702972907312,887
1702972907332,887
1702972907352,886
1702972907372,883
1702972907392,885
1702972907412,887
1702972907432,890
1702972907452,895
1702972907472,887
1702972907492,886
1702972907512,884
1702972907532,891
1702972907552,883
1702972907572,886
1702972907592,891
1702972907612,887
1702972907632,880
1702972907652,886
1702972907672,879
1702972907692,881
1702972907712,887
1702972907732,886
1702972907752,885
1702972907772,886
1702972907792,885
1702972907812,887
1702972907832,883
1702972907852,886
1702972907872,880
1702972907892,887
1702972907912,885
1702972907932,886
1702972907952,884
1702972907972,883
1702972907992,889
1702972908012,889
1702972908032,887
1702972908052,886
1702972908072,885
1702972908092,886
1702972908112,886
1702972908132,886
1702972908152,887
1702972908172,889
1702972908192,883
1702972908212,886
1702972908232,890
1702972908252,887
1702972908272,885
1702972908292,889
1702972908312,889
1702972908332,878
1702972908352,887
1702972908372,884
1702972908392,880
1702972908412,884
1702972908432,885
1702972908452,883
1702972908472,887
1702972908492,894
1702972908512,886
1702972908532,884
1702972908552,888
1702972908572,889
1702972908592,883
1702972908612,889
1702972908632,891
1702972908652,885
1702972908672,891
1702972908692,885
1702972908712,887
1702972908732,886
1702972908752,887
1702972908772,886
1702972908792,887
1702972908812,888
1702972908832,887
1702972908852,885
1702972908872,889
1702972908892,886
1702972908912,895
1702972908932,875
1702972908952,886
1702972908972,885
1702972908992,887
1702972909012,883
1702972909032,887
1702972909052,884
1702972909072,887
1702972909092,878
1702972909112,887
1702972909132,886
1702972909152,889
1702972909172,888
1702972909192,887
1702972909212,885
1702972909232,884
1702972909252,884
1702972909272,887
1702972909292,886
1702972909312,885
1702972909332,889
1702972909352,886
1702972909372,887
1702972909392,891
1702972909412,882
1702972909432,883
1702972909452,885
1702972909472,886
1702972909492,885
1702972909512,894
1702972909532,881
1702972909552,886
1702972909572,887
1702972909592,885
1702972909612,896
1702972909632,889
1702972909652,883
1702972909672,887
1702972909692,886
1702972909712,896
1702972909732,887
1702972909752,889
1702972909772,885
1702972909792,886
1702972909812,887
1702972909832,885
1702972909852,889
1702972909872,886
1702972909892,886
1702972909912,888
1702972909932,891
1702972909952,886
1702972909972,893
1702972909992,886
1702972910012,883
1702972910032,887
1702972910052,890
1702972910072,887
1702972910092,886
1702972910112,887
1702972910132,886
1702972910152,890
1702972910172,885
1702972910192,883
1702972910212,886
1702972910232,881
1702972910252,889
1702972910272,886
1702972910292,883
1702972910312,884
1702972910332,897
1702972910352,878
1702972910372,885
1702972910392,885
1702972910412,884
1702972910432,887
1702972910452,887
1702972910472,887
1702972910492,886
1702972910512,885
1702972910532,885
1702972910552,889
1702972910572,887
1702972910592,886
1702972910612,885
1702972910632,885
1702972910652,888
1702972910672,885
1702972910692,886
1702972910712,887
1702972910732,894
1702972910752,889
