TIME,VALUE
1702912204360,342
1702912204380,0
1702912204400,0
1702912204420,0
1702912204440,0
1702912204460,0
1702912204480,0
1702912204500,0
1702912204520,0
1702912204540,0
1702912204560,0
1702912204580,0
1702912204600,0
1702912204620,0
1702912204640,0
1702912204660,0
1702912204680,0
1702912204700,0
1702912204720,0
1702912204740,0
1702912204760,0
1702912204780,0
1702912204800,0
1702912204820,0
1702912204840,0
1702912204860,0
1702912204880,0
1702912204900,0
1702912204920,0
1702912204940,0
1702912204960,0
1702912204980,0
1702912205000,0
1702912205020,0
1702912205040,0
1702912205060,0
1702912205080,0
1702912205100,0
1702912205120,0
1702912205140,0
1702912205160,0
1702912205180,0
1702912205200,0
1702912205220,0
1702912205240,0
1702912205260,0
1702912205280,0
1702912205300,0
1702912205320,0
1702912205340,0
1702912205360,0
1702912205380,0
1702912205400,0
1702912205420,0
1702912205440,0
1702912205460,0
1702912205480,0
1702912205500,0
1702912205520,0
1702912205540,0
1702912205560,0
1702912205580,0
1702912205600,0
1702912205620,0
1702912205640,0
1702912205660,0
1702912205680,0
1702912205700,0
1702912205720,0
1702912205740,0
1702912205760,0
1702912205780,0
1702912205800,0
1702912205820,0
1702912205840,0
1702912205860,0
1702912205880,0
1702912205900,0
1702912205920,0
1702912205940,0
1702912205960,0
1702912205980,0
1702912206000,0
1702912206020,0
1702912206040,0
1702912206060,0
1702912206080,0
1702912206100,0
1702912206120,0
1702912206140,0
1702912206160,0
1702912206180,0
1702912206200,0
1702912206220,0
1702912206240,0
1702912206260,0
1702912206280,0
1702912206300,0
1702912206320,0
1702912206340,0
1702912206360,0
1702912206380,0
1702912206400,0
1702912206420,0
1702912206440,0
1702912206460,0
1702912206480,0
1702912206500,0
1702912206520,0
1702912206540,0
1702912206560,0
1702912206580,0
1702912206600,0
1702912206620,0
1702912206640,0
1702912206660,0
1702912206680,0
1702912206700,0
1702912206720,0
1702912206740,0
1702912206760,0
1702912206780,0
1702912206800,0
1702912206820,0
1702912206840,0
1702912206860,0
1702912206880,0
1702912206900,0
1702912206920,0
1702912206940,0
1702912206960,0
1702912206980,0
1702912207000,0
1702912207020,0
1702912207040,0
1702912207060,0
1702912207080,0
1702912207100,0
1702912207120,0
1702912207140,0
1702912207160,0
1702912207180,0
1702912207200,0
1702912207220,0
1702912207240,0
1702912207260,0
1702912207280,0
1702912207300,0
1702912207320,0
1702912207340,131
1702912207360,0
1702912207380,0
1702912207400,0
1702912207420,0
1702912207440,83
1702912207460,0
1702912207480,0
1702912207500,0
1702912207520,0
1702912207540,0
1702912207560,0
1702912207580,0
1702912207600,0
1702912207620,0
1702912207640,0
1702912207660,3
1702912207680,0
1702912207700,64
1702912207720,77
1702912207740,142
1702912207760,94
1702912207780,44
1702912207800,48
1702912207820,43
1702912207840,64
1702912207860,71
1702912207880,48
1702912207900,51
1702912207920,59
1702912207940,208
1702912207960,80
1702912207980,114
1702912208000,234
1702912208020,95
1702912208040,128
1702912208060,480
1702912208080,330
1702912208100,452
1702912208120,401
1702912208140,377
1702912208160,368
1702912208180,496
1702912208200,688
1702912208220,622
1702912208240,657
1702912208260,595
1702912208280,715
1702912208300,885
1702912208320,859
1702912208340,896
1702912208360,1043
1702912208380,982
1702912208400,1279
1702912208420,976
1702912208440,1315
1702912208460,1130
1702912208480,1133
1702912208500,1204
1702912208520,1264
1702912208540,1458
1702912208560,1344
1702912208580,406
1702912208600,389
1702912208620,398
1702912208640,391
1702912208660,397
1702912208680,388
1702912208700,380
1702912208720,374
1702912208740,381
1702912208760,377
1702912208780,357
1702912208800,366
1702912208820,354
1702912208840,339
1702912208860,353
1702912208880,365
1702912208900,336
1702912208920,301
1702912208940,249
1702912208960,234
1702912208980,322
1702912209000,305
1702912209020,208
1702912209040,245
1702912209060,49
1702912209080,188
1702912209100,230
1702912209120,144
1702912209140,149
1702912209160,137
1702912209180,123
1702912209200,127
1702912209220,123
1702912209240,0
1702912209260,67
1702912209280,51
1702912209300,53
1702912209320,29
1702912209340,0
1702912209360,0
1702912209380,0
1702912209400,0
1702912209420,0
1702912209440,0
1702912209460,0
1702912209480,0
1702912209500,0
1702912209520,0
1702912209540,0
1702912209560,0
1702912209580,0
1702912209600,0
1702912209620,0
1702912209640,0
1702912209660,0
1702912209680,0
1702912209700,0
1702912209720,0
1702912209740,0
1702912209760,0
1702912209780,0
1702912209800,0
1702912209820,0
1702912209840,0
1702912209860,0
1702912209880,0
1702912209900,0
1702912209920,0
1702912209940,0
1702912209960,0
1702912209980,0
1702912210000,0
1702912210020,0
1702912210040,0
1702912210060,0
1702912210080,0
1702912210100,0
1702912210120,0
1702912210140,0
1702912210160,0
1702912210180,0
1702912210200,0
1702912210220,0
1702912210240,0
1702912210260,0
1702912210280,0
1702912210300,0
1702912210320,0
1702912210340,0
1702912210360,0
1702912210380,0
1702912210400,0
1702912210420,0
1702912210440,0
1702912210460,0
1702912210480,0
1702912210500,0
1702912210520,0
1702912210540,0
1702912210560,0
1702912210580,0
1702912210600,0
1702912210620,0
1702912210640,0
1702912210660,0
1702912210680,0
1702912210700,0
1702912210720,0
1702912210740,0
1702912210760,0
1702912210780,0
1702912210800,0
1702912210820,0
1702912210840,0
1702912210860,0
1702912210880,0
1702912210900,0
1702912210920,0
1702912210940,0
1702912210960,0
1702912210980,0
1702912211000,0
1702912211020,0
1702912211040,0
1702912211060,0
1702912211080,0
1702912211100,0
1702912211120,0
1702912211140,0
1702912211160,0
1702912211180,0
1702912211200,0
1702912211220,0
1702912211240,0
1702912211260,0
1702912211280,0
1702912211300,0
1702912211320,0
1702912211340,0
1702912211360,0
1702912211380,0
1702912211400,0
1702912211420,0
1702912211440,0
1702912211460,0
1702912211480,0
1702912211500,0
1702912211520,0
1702912211540,0
1702912211560,0
1702912211580,0
1702912211600,0
1702912211620,0
1702912211640,0
1702912211660,0
1702912211680,0
1702912211700,0
1702912211720,0
1702912211740,0
1702912211760,0
