TIME,VALUE
1702912270950,0
1702912270970,0
1702912270990,0
1702912271010,0
1702912271030,0
1702912271050,0
1702912271070,0
1702912271090,0
1702912271110,0
1702912271130,0
1702912271150,0
1702912271170,0
1702912271190,0
1702912271210,0
1702912271230,0
1702912271250,0
1702912271270,0
1702912271290,0
1702912271310,0
1702912271330,0
1702912271350,0
1702912271370,0
1702912271390,0
1702912271410,0
1702912271430,0
1702912271450,0
1702912271470,0
1702912271490,0
1702912271510,0
1702912271530,0
1702912271550,0
1702912271570,0
1702912271590,0
1702912271610,0
1702912271630,0
1702912271650,0
1702912271670,0
1702912271690,0
1702912271710,0
1702912271730,0
1702912271750,0
1702912271770,0
1702912271790,0
1702912271810,0
1702912271830,0
1702912271850,0
1702912271870,0
1702912271890,0
1702912271910,0
1702912271930,0
1702912271950,0
1702912271970,0
1702912271990,0
1702912272010,0
1702912272030,0
1702912272050,0
1702912272070,0
1702912272090,0
1702912272110,0
1702912272130,0
1702912272150,0
1702912272170,0
1702912272190,0
1702912272210,0
1702912272230,0
1702912272250,65
1702912272270,0
1702912272290,0
1702912272310,0
1702912272330,144
1702912272350,85
1702912272370,58
1702912272390,171
1702912272410,194
1702912272430,273
1702912272450,402
1702912272470,242
1702912272490,313
1702912272510,337
1702912272530,465
1702912272550,347
1702912272570,433
1702912272590,416
1702912272610,477
1702912272630,624
1702912272650,779
1702912272670,656
1702912272690,627
1702912272710,811
1702912272730,850
1702912272750,790
1702912272770,784
1702912272790,846
1702912272810,889
1702912272830,907
1702912272850,944
1702912272870,958
1702912272890,951
1702912272910,953
1702912272930,961
1702912272950,1019
1702912272970,1018
1702912272990,982
1702912273010,999
1702912273030,1008
1702912273050,1021
1702912273070,1022
1702912273090,1014
1702912273110,961
1702912273130,1005
1702912273150,937
1702912273170,1023
1702912273190,1013
1702912273210,953
1702912273230,926
1702912273250,845
1702912273270,944
1702912273290,912
1702912273310,846
1702912273330,868
1702912273350,735
1702912273370,784
1702912273390,787
1702912273410,727
1702912273430,642
1702912273450,464
1702912273470,669
1702912273490,613
1702912273510,573
1702912273530,590
1702912273550,464
1702912273570,533
1702912273590,474
1702912273610,455
1702912273630,437
1702912273650,416
1702912273670,279
1702912273690,366
1702912273710,299
1702912273730,290
1702912273750,270
1702912273770,194
1702912273790,176
1702912273810,199
1702912273830,144
1702912273850,173
1702912273870,0
1702912273890,31
1702912273910,16
1702912273930,0
1702912273950,0
1702912273970,0
1702912273990,0
1702912274010,0
1702912274030,0
1702912274050,0
1702912274070,0
1702912274090,0
1702912274110,0
1702912274130,0
1702912274150,0
1702912274170,0
1702912274190,0
1702912274210,0
1702912274230,0
1702912274250,0
1702912274270,0
1702912274290,0
1702912274310,0
1702912274330,0
1702912274350,0
1702912274370,0
1702912274390,0
1702912274410,0
1702912274430,0
1702912274450,2
1702912274470,115
1702912274490,112
1702912274510,70
1702912274530,67
1702912274550,61
1702912274570,0
1702912274590,0
1702912274610,0
1702912274630,0
1702912274650,0
1702912274670,0
1702912274690,0
1702912274710,0
1702912274730,0
1702912274750,0
1702912274770,0
1702912274790,0
1702912274810,0
1702912274830,0
1702912274850,0
1702912274870,0
1702912274890,0
1702912274910,0
1702912274930,0
1702912274950,0
1702912274970,0
1702912274990,0
1702912275010,0
1702912275030,0
1702912275050,0
1702912275070,0
1702912275090,0
1702912275110,0
1702912275130,0
1702912275150,0
1702912275170,0
1702912275190,0
1702912275210,0
1702912275230,0
1702912275250,0
1702912275270,0
1702912275290,0
1702912275310,0
1702912275330,0
1702912275350,0
1702912275370,0
1702912275390,0
1702912275410,0
1702912275430,0
1702912275450,0
1702912275470,0
1702912275490,0
1702912275510,0
1702912275530,0
1702912275550,0
1702912275570,0
1702912275590,0
1702912275610,0
1702912275630,0
1702912275650,0
1702912275670,0
1702912275690,0
1702912275710,0
1702912275730,0
1702912275750,0
1702912275770,0
1702912275790,0
1702912275810,0
1702912275830,0
1702912275850,0
1702912275870,0
1702912275890,0
1702912275910,0
1702912275930,0
1702912275950,0
1702912275970,0
1702912275990,0
1702912276010,0
1702912276030,0
1702912276050,0
1702912276070,0
1702912276090,0
1702912276110,0
1702912276130,0
1702912276150,0
1702912276170,0
1702912276190,0
1702912276210,0
1702912276230,0
1702912276250,0
1702912276270,0
1702912276290,0
1702912276310,0
1702912276330,0
1702912276350,0
1702912276370,0
1702912276390,0
1702912276410,0
1702912276430,0
1702912276450,0
1702912276470,0
1702912276490,0
1702912276510,0
1702912276530,0
1702912276550,0
1702912276570,0
1702912276590,0
1702912276610,0
1702912276630,0
1702912276650,0
1702912276670,0
1702912276690,0
1702912276710,0
1702912276730,0
1702912276750,0
1702912276770,0
1702912276790,0
1702912276810,0
1702912276830,0
1702912276850,0
1702912276870,0
1702912276890,0
1702912276910,0
1702912276930,0
1702912276950,0
1702912276970,0
1702912276990,0
1702912277010,0
1702912277030,0
1702912277050,0
1702912277070,0
1702912277090,0
1702912277110,0
1702912277130,0
1702912277150,0
1702912277170,0
1702912277190,0
1702912277210,0
1702912277230,0
1702912277250,0
1702912277270,0
1702912277290,0
1702912277310,0
1702912277330,0
1702912277350,16
1702912277370,34
1702912277390,127
1702912277410,0
1702912277430,87
1702912277450,343
1702912277470,218
1702912277490,178
1702912277510,259
1702912277530,219
1702912277550,311
1702912277570,400
1702912277590,418
1702912277610,402
1702912277630,463
1702912277650,565
1702912277670,542
1702912277690,550
1702912277710,784
1702912277730,650
1702912277750,747
1702912277770,647
1702912277790,938
1702912277810,752
1702912277830,799
1702912277850,985
1702912277870,950
1702912277890,937
1702912277910,945
1702912277930,969
1702912277950,1017
1702912277970,1040
1702912277990,997
1702912278010,995
1702912278030,1002
1702912278050,1034
1702912278070,694
1702912278090,1093
1702912278110,1088
1702912278130,1105
1702912278150,1121
1702912278170,1134
1702912278190,1143
1702912278210,1142
1702912278230,1135
1702912278250,1146
1702912278270,993
1702912278290,921
1702912278310,897
1702912278330,806
1702912278350,922
1702912278370,830
1702912278390,787
1702912278410,758
1702912278430,753
1702912278450,617
1702912278470,528
1702912278490,691
1702912278510,682
1702912278530,591
1702912278550,561
1702912278570,486
1702912278590,560
1702912278610,549
1702912278630,469
1702912278650,466
1702912278670,357
1702912278690,441
1702912278710,273
1702912278730,201
1702912278750,299
1702912278770,314
1702912278790,139
1702912278810,169
1702912278830,147
1702912278850,160
1702912278870,64
1702912278890,0
1702912278910,0
1702912278930,0
1702912278950,0
1702912278970,0
1702912278990,0
1702912279010,0
1702912279030,0
1702912279050,0
1702912279070,0
1702912279090,0
1702912279110,0
1702912279130,0
1702912279150,0
1702912279170,0
1702912279190,0
1702912279210,0
1702912279230,0
1702912279250,0
1702912279270,0
1702912279290,0
1702912279310,0
1702912279330,0
1702912279350,0
1702912279370,0
1702912279390,0
1702912279410,0
1702912279430,0
1702912279450,0
1702912279470,0
1702912279490,0
1702912279510,0
1702912279530,0
1702912279550,0
1702912279570,0
1702912279590,0
1702912279610,0
1702912279630,0
1702912279650,0
1702912279670,0
1702912279690,0
1702912279710,0
1702912279730,0
1702912279750,0
1702912279770,0
1702912279790,0
1702912279810,0
1702912279830,0
1702912279850,0
1702912279870,0
1702912279890,0
1702912279910,0
1702912279930,0
1702912279950,0
1702912279970,0
1702912279990,0
1702912280010,0
1702912280030,0
1702912280050,0
1702912280070,0
1702912280090,0
1702912280110,0
1702912280130,0
1702912280150,0
1702912280170,0
1702912280190,0
1702912280210,0
1702912280230,0
1702912280250,0
1702912280270,0
1702912280290,0
1702912280310,0
1702912280330,0
1702912280350,0
1702912280370,0
1702912280390,0
1702912280410,0
1702912280430,0
1702912280450,0
1702912280470,0
1702912280490,0
1702912280510,0
1702912280530,0
1702912280550,0
1702912280570,0
1702912280590,0
1702912280610,0
1702912280630,0
1702912280650,0
1702912280670,0
1702912280690,0
1702912280710,0
1702912280730,0
1702912280750,0
1702912280770,0
1702912280790,0
1702912280810,0
1702912280830,0
1702912280850,0
1702912280870,0
1702912280890,0
1702912280910,0
1702912280930,0
1702912280950,0
1702912280970,0
