TIME,VALUE
1702912262950,0
1702912262970,0
1702912262990,0
1702912263010,0
1702912263030,0
1702912263050,0
1702912263070,0
1702912263090,0
1702912263110,0
1702912263130,0
1702912263150,0
1702912263170,0
1702912263190,0
1702912263210,0
1702912263230,0
1702912263250,0
1702912263270,0
1702912263290,0
1702912263310,0
1702912263330,0
1702912263350,0
1702912263370,0
1702912263390,0
1702912263410,0
1702912263430,0
1702912263450,0
1702912263470,0
1702912263490,0
1702912263510,0
1702912263530,0
1702912263550,0
1702912263570,0
1702912263590,0
1702912263610,0
1702912263630,0
1702912263650,0
1702912263670,0
1702912263690,0
1702912263710,0
1702912263730,0
1702912263750,0
1702912263770,0
1702912263790,0
1702912263810,0
1702912263830,0
1702912263850,0
1702912263870,0
1702912263890,0
1702912263910,0
1702912263930,0
1702912263950,0
1702912263970,0
1702912263990,0
1702912264010,0
1702912264030,0
1702912264050,0
1702912264070,0
1702912264090,0
1702912264110,0
1702912264130,0
1702912264150,0
1702912264170,0
1702912264190,0
1702912264210,0
1702912264230,0
1702912264250,0
1702912264270,0
1702912264290,0
1702912264310,0
1702912264330,0
1702912264350,0
1702912264370,0
1702912264390,0
1702912264410,0
1702912264430,0
1702912264450,0
1702912264470,0
1702912264490,0
1702912264510,0
1702912264530,0
1702912264550,0
1702912264570,0
1702912264590,0
1702912264610,0
1702912264630,0
1702912264650,0
1702912264670,0
1702912264690,0
1702912264710,0
1702912264730,0
1702912264750,0
1702912264770,0
1702912264790,0
1702912264810,0
1702912264830,0
1702912264850,0
1702912264870,0
1702912264890,0
1702912264910,0
1702912264930,0
1702912264950,0
1702912264970,0
1702912264990,0
1702912265010,0
1702912265030,0
1702912265050,0
1702912265070,0
1702912265090,0
1702912265110,0
1702912265130,0
1702912265150,0
1702912265170,0
1702912265190,0
1702912265210,0
1702912265230,0
1702912265250,0
1702912265270,0
1702912265290,0
1702912265310,0
1702912265330,0
1702912265350,0
1702912265370,0
1702912265390,0
1702912265410,0
1702912265430,0
1702912265450,0
1702912265470,0
1702912265490,0
1702912265510,0
1702912265530,0
1702912265550,0
1702912265570,0
1702912265590,0
1702912265610,0
1702912265630,0
1702912265650,0
1702912265670,0
1702912265690,0
1702912265710,0
1702912265730,0
1702912265750,0
1702912265770,0
1702912265790,0
1702912265810,0
1702912265830,0
1702912265850,0
1702912265870,0
1702912265890,0
1702912265910,0
1702912265930,0
1702912265950,0
1702912265970,0
1702912265990,0
1702912266010,0
1702912266030,0
1702912266050,0
1702912266070,0
1702912266090,0
1702912266110,0
1702912266130,0
1702912266150,0
1702912266170,0
1702912266190,0
1702912266210,0
1702912266230,0
1702912266250,0
1702912266270,0
1702912266290,0
1702912266310,0
1702912266330,0
1702912266350,0
1702912266370,0
1702912266390,0
1702912266410,0
1702912266430,0
1702912266450,0
1702912266470,0
1702912266490,0
1702912266510,0
1702912266530,16
1702912266550,0
1702912266570,61
1702912266590,145
1702912266610,103
1702912266630,112
1702912266650,116
1702912266670,256
1702912266690,142
1702912266710,319
1702912266730,280
1702912266750,300
1702912266770,278
1702912266790,294
1702912266810,733
1702912266830,433
1702912266850,477
1702912266870,434
1702912266890,509
1702912266910,599
1702912266930,510
1702912266950,689
1702912266970,687
1702912266990,669
1702912267010,779
1702912267030,715
1702912267050,935
1702912267070,802
1702912267090,786
1702912267110,854
1702912267130,796
1702912267150,847
1702912267170,928
1702912267190,894
1702912267210,947
1702912267230,927
1702912267250,931
1702912267270,944
1702912267290,945
1702912267310,992
1702912267330,992
1702912267350,978
1702912267370,979
1702912267390,986
1702912267410,991
1702912267430,1005
1702912267450,998
1702912267470,1009
1702912267490,997
1702912267510,992
1702912267530,971
1702912267550,976
1702912267570,985
1702912267590,960
1702912267610,868
1702912267630,974
1702912267650,895
1702912267670,774
1702912267690,861
1702912267710,825
1702912267730,741
1702912267750,835
1702912267770,780
1702912267790,720
1702912267810,692
1702912267830,624
1702912267850,674
1702912267870,674
1702912267890,612
1702912267910,593
1702912267930,538
1702912267950,560
1702912267970,468
1702912267990,511
1702912268010,506
1702912268030,437
1702912268050,460
1702912268070,409
1702912268090,455
1702912268110,442
1702912268130,322
1702912268150,327
1702912268170,305
1702912268190,225
1702912268210,293
1702912268230,203
1702912268250,208
1702912268270,153
1702912268290,227
1702912268310,131
1702912268330,128
1702912268350,0
1702912268370,7
1702912268390,0
1702912268410,18
1702912268430,0
1702912268450,0
1702912268470,0
1702912268490,0
1702912268510,0
1702912268530,0
1702912268550,0
1702912268570,0
1702912268590,0
1702912268610,0
1702912268630,0
1702912268650,0
1702912268670,0
1702912268690,0
1702912268710,0
1702912268730,0
1702912268750,0
1702912268770,0
1702912268790,0
1702912268810,0
1702912268830,0
1702912268850,0
1702912268870,0
1702912268890,0
1702912268910,0
1702912268930,0
1702912268950,0
1702912268970,0
1702912268990,0
1702912269010,59
1702912269030,64
1702912269050,0
1702912269070,0
1702912269090,0
