TIME,VALUE
1703523631880,1151
1703523631890,1168
1703523631900,1182
1703523631910,1200
1703523631920,1218
1703523631930,1228
1703523631940,1229
1703523631950,1249
1703523631960,1255
1703523631970,1273
1703523631980,1292
1703523631990,1291
1703523632000,1299
1703523632010,1296
1703523632020,1317
1703523632030,1315
1703523632040,1327
1703523632050,1315
1703523632060,1319
1703523632070,1307
1703523632080,1327
1703523632090,1318
1703523632100,1329
1703523632110,1312
1703523632120,1353
1703523632130,1290
1703523632140,1315
1703523632150,1280
1703523632160,1305
1703523632180,1330
1703523632190,1273
1703523632200,1341
1703523632210,1294
1703523632220,1361
1703523632230,1327
1703523632240,1344
1703523632250,1358
1703523632260,1381
1703523632270,1353
1703523632270,1380
1703523632280,1418
1703523632290,1392
1703523632300,1424
1703523632310,1413
1703523632320,1451
1703523632330,1442
1703523632340,1483
1703523632350,1460
1703523632360,1507
1703523632370,1453
1703523632380,1457
1703523632390,1411
1703523632400,1442
1703523632410,1408
1703523632420,1446
1703523632430,1417
1703523632440,1455
1703523632450,1419
1703523632460,1447
1703523632470,1392
1703523632480,1425
1703523632490,1406
1703523632500,1427
1703523632510,1397
1703523632520,1434
1703523632530,1392
1703523632540,1444
1703523632550,1411
1703523632560,1453
1703523632570,1422
1703523632580,1462
1703523632590,1427
1703523632600,1474
1703523632610,1424
1703523632620,1480
1703523632630,1399
1703523632640,1404
1703523632650,1325
1703523632660,1362
1703523632670,1328
1703523632680,1371
1703523632690,1328
1703523632700,1372
1703523632710,1316
1703523632720,1360
1703523632730,1315
1703523632740,1347
1703523632750,1312
1703523632760,1367
1703523632770,1303
1703523632780,1353
1703523632790,1294
1703523632800,1330
1703523632810,1309
1703523632820,1360
1703523632830,1297
1703523632840,1351
1703523632850,1301
1703523632860,1357
1703523632870,1312
1703523632880,1358
1703523632890,1287
1703523632900,1330
1703523632910,1264
1703523632920,1328
1703523632930,1281
1703523632940,1341
1703523632950,1293
1703523632960,1331
1703523632970,1263
1703523632980,1314
1703523632990,1264
1703523633000,1324
1703523633010,1264
1703523633020,1298
1703523633030,1219
1703523633040,1264
1703523633050,1217
1703523633060,1277
1703523633070,1232
1703523633080,1300
1703523633090,1278
1703523633100,1346
1703523633110,1303
1703523633120,1356
1703523633130,1297
1703523633140,1347
1703523633150,1305
1703523633160,1338
1703523633170,1292
1703523633180,1350
1703523633190,1310
1703523633200,1353
1703523633210,1290
1703523633220,1355
1703523633230,1293
1703523633240,1342
1703523633250,1280
1703523633260,1338
1703523633270,1269
1703523633280,1338
1703523633290,1274
1703523633300,1328
1703523633310,1267
1703523633320,1337
1703523633330,1258
1703523633340,1316
1703523633350,1253
1703523633360,1295
1703523633370,1232
1703523633380,1277
1703523633390,1210
1703523633400,1263
1703523633410,1195
1703523633420,1241
1703523633430,1168
1703523633440,1201
1703523633450,1122
1703523633460,1149
1703523633470,1046
1703523633480,1055
1703523633490,1062
1703523633510,1008
1703523633520,1059
1703523633530,1014
1703523633540,1040
1703523633550,1014
1703523633560,999
1703523633570,1034
1703523633580,979
1703523633590,994
1703523633590,1035
1703523633600,1008
1703523633610,982
1703523633620,1022
1703523633630,975
1703523633640,983
1703523633650,910
1703523633660,943
1703523633670,881
1703523633680,927
1703523633690,885
1703523633700,927
1703523633710,864
1703523633720,906
1703523633730,851
1703523633740,890
1703523633750,832
1703523633760,865
1703523633770,826
1703523633780,854
1703523633790,818
1703523633800,877
1703523633810,849
1703523633820,912
1703523633830,880
1703523633840,923
1703523633850,880
1703523633860,897
1703523633870,848
1703523633880,883
1703523633890,839
1703523633900,867
1703523633910,830
1703523633920,871
1703523633930,835
1703523633940,886
1703523633950,853
1703523633960,902
1703523633970,880
1703523633980,919
1703523633990,877
1703523634000,922
1703523634010,880
1703523634020,919
1703523634030,873
1703523634040,927
1703523634050,905
1703523634060,944
1703523634070,898
1703523634080,945
1703523634090,914
1703523634100,973
1703523634110,947
1703523634120,976
1703523634130,943
1703523634140,977
1703523634150,955
1703523634160,990
1703523634170,967
1703523634180,1013
1703523634190,993
1703523634200,1043
1703523634210,1020
1703523634220,1056
1703523634230,1039
1703523634240,1056
1703523634250,1022
1703523634260,1043
1703523634270,1006
1703523634280,1023
1703523634290,1005
1703523634300,970
1703523634310,974
1703523634320,974
1703523634330,944
1703523634340,995
1703523634350,983
1703523634360,1020
1703523634370,1008
1703523634380,1050
1703523634390,1053
1703523634400,1079
1703523634410,1058
1703523634420,1072
1703523634430,1053
1703523634440,1067
1703523634450,1055
1703523634460,1079
1703523634470,1076
1703523634480,1086
1703523634490,1062
1703523634500,1069
1703523634510,1072
1703523634520,1077
1703523634530,1072
1703523634540,1072
1703523634550,1055
1703523634560,1072
1703523634570,1070
1703523634580,1073
1703523634590,1072
1703523634600,1086
1703523634610,1072
1703523634620,1075
1703523634630,1077
1703523634640,1087
1703523634650,1087
1703523634660,1083
1703523634670,1077
1703523634680,1072
1703523634690,1073
1703523634700,1076
1703523634710,1084
1703523634720,1085
1703523634730,1083
1703523634740,1074
1703523634750,1072
1703523634760,1072
1703523634770,1070
1703523634780,1072
1703523634790,1053
1703523634800,1041
1703523634810,1040
1703523634820,1008
1703523634830,1014
1703523634840,992
1703523634850,987
1703523634860,963
1703523634870,963
1703523634880,912
1703523634890,899
1703523634900,837
1703523634910,862
1703523634930,884
1703523634940,834
1703523634950,889
1703523634960,810
1703523634970,858
1703523634980,839
1703523634990,855
1703523635000,848
1703523635010,896
1703523635010,870
1703523635020,850
1703523635030,899
1703523635040,889
1703523635050,929
1703523635060,907
1703523635070,935
1703523635080,933
1703523635090,965
1703523635100,960
1703523635110,1023
1703523635120,980
1703523635130,1023
1703523635140,997
1703523635150,1044
1703523635160,1040
1703523635170,1087
1703523635180,1098
1703523635190,1143
1703523635200,1141
1703523635210,1191
1703523635220,1186
1703523635230,1234
1703523635240,1235
1703523635250,1300
1703523635260,1296
