TIME,VALUE
1703525883970,1360
1703525883990,1358
1703525884170,1344
1703525884190,1361
1703525884210,1355
1703525884230,1351
1703525884250,1366
1703525884370,1362
1703525884390,1363
1703525884410,1368
1703525884430,1370
1703525884450,1363
1703525884470,1364
1703525884490,1362
1703525884510,1367
1703525884570,1318
1703525884590,1306
1703525884610,1319
1703525884630,1333
1703525884650,1338
1703525884670,1356
1703525884690,1354
1703525884710,1354
1703525884730,1361
1703525884750,1360
1703525884770,1345
1703525884790,1319
1703525884810,1296
1703525884830,1291
1703525884850,1300
1703525884870,1309
1703525884890,1305
1703525884910,1307
1703525884930,1324
1703525884950,1331
1703525884970,1331
1703525884990,1327
1703525885010,1325
1703525885030,1315
1703525885050,1315
1703525885070,1315
1703525885090,1313
1703525885110,1311
1703525885130,1328
1703525885150,1323
1703525885170,1322
1703525885190,1328
1703525885210,1353
1703525885230,1346
1703525885250,1346
1703525885270,1344
1703525885290,1346
1703525885310,1348
1703525885330,1357
1703525885350,1344
1703525885370,1328
1703525885390,1327
1703525885410,1329
1703525885430,1331
1703525885450,1328
1703525885470,1297
1703525885490,1304
1703525885510,1307
1703525885530,1294
1703525885550,1294
1703525885570,1298
1703525885590,1303
1703525885610,1310
1703525885630,1301
1703525885650,1307
1703525885670,1319
1703525885690,1328
1703525885710,1328
1703525885730,1309
1703525885750,1307
1703525885770,1279
1703525885790,1307
1703525885810,1303
1703525885830,1290
1703525885850,1296
1703525885870,1310
1703525885890,1322
1703525885910,1327
1703525885930,1334
1703525885950,1339
1703525885970,1318
1703525885990,1323
1703525886010,1321
1703525886030,1328
1703525886050,1329
1703525886070,1339
1703525886090,1338
1703525886110,1314
1703525886130,1310
1703525886150,1306
1703525886170,1312
1703525886190,1323
1703525886210,1339
1703525886230,1347
1703525886250,1359
1703525886270,1359
1703525886290,1360
1703525886310,1360
1703525886330,1355
1703525886350,1345
1703525886370,1343
1703525886390,1344
1703525886410,1344
1703525886430,1313
1703525886450,1299
1703525886470,1303
1703525886490,1303
1703525886510,1302
1703525886530,1299
1703525886550,1295
1703525886570,1299
1703525886590,1309
1703525886610,1317
1703525886630,1323
1703525886650,1328
1703525886670,1327
1703525886690,1326
1703525886710,1334
1703525886730,1353
1703525886750,1357
1703525886770,1360
1703525886790,1373
1703525886810,1377
1703525886830,1365
1703525886850,1363
1703525886870,1371
1703525886890,1381
1703525886910,1377
1703525886930,1375
1703525886950,1365
1703525886970,1371
1703525886990,1361
1703525887010,1358
1703525887030,1347
1703525887050,1350
1703525887070,1331
1703525887090,1338
1703525887110,1313
1703525887130,1323
1703525887150,1326
1703525887170,1327
1703525887190,1345
1703525887210,1346
1703525887230,1349
1703525887250,1346
1703525887270,1339
1703525887290,1343
1703525887310,1319
1703525887330,1328
1703525887350,1322
1703525887370,1328
1703525887390,1328
1703525887410,1330
1703525887430,1342
1703525887450,1340
1703525887470,1329
1703525887490,1315
1703525887510,1299
1703525887530,1307
1703525887550,1322
1703525889570,1419
1703525889590,1418
1703525889610,1408
1703525889630,1403
1703525889650,1390
1703525889670,1402
1703525889690,1405
1703525889770,1406
1703525889790,1411
1703525889810,1416
1703525889830,1429
1703525889850,1431
1703525889870,1430
1703525889890,1442
1703525889910,1439
1703525889930,1436
1703525889950,1447
1703525889970,1441
1703525889990,1439
1703525890010,1438
