TIME,VALUE
1703996344170,3238
1703996344190,3250
1703996344210,3251
1703996344230,3280
1703996344250,3309
1703996344270,3331
1703996344290,3328
1703996344310,3379
1703996344330,3407
1703996344350,3404
1703996344370,3414
1703996344390,3391
1703996344410,3337
1703996344430,3326
1703996344450,3333
1703996344470,3347
1703996344490,3342
1703996344510,3334
1703996344530,3326
1703996344550,3312
1703996344570,3307
1703996344590,3312
1703996344610,3310
1703996344630,3290
1703996344650,3294
1703996344670,3289
1703996344690,3280
1703996344710,3278
1703996344730,3283
1703996344750,3294
1703996344770,3293
1703996344790,3263
1703996344810,3258
1703996344830,3269
1703996344850,3267
1703996344870,3277
1703996344890,3262
1703996344910,3259
1703996344930,3266
1703996344950,3263
1703996344970,3264
1703996344990,3283
1703996345010,3292
1703996345030,3298
1703996345050,3312
1703996345070,3322
1703996345090,3297
1703996345110,3313
1703996345130,3315
1703996345150,3310
1703996345170,3321
1703996345190,3319
1703996345210,3280
1703996345230,3303
1703996345250,3307
1703996345270,3312
1703996345290,3327
1703996345310,3332
1703996345330,3339
1703996345350,3346
1703996345370,3350
1703996345390,3360
1703996345410,3341
1703996345430,3338
1703996345450,3310
1703996345470,3283
1703996345490,3265
1703996345510,3264
1703996345530,3267
1703996345550,3280
1703996345570,3323
1703996345590,3344
1703996345610,3375
1703996345630,3337
1703996345650,3335
1703996345670,3315
1703996345690,3338
1703996345710,3307
1703996345730,3283
1703996345750,3279
1703996345770,3298
1703996345790,3310
1703996345810,3310
1703996345830,3335
1703996345850,3314
1703996345870,3303
1703996345890,3301
1703996345910,3294
1703996345930,3274
1703996345950,3273
1703996345970,3275
1703996345990,3285
1703996346010,3281
1703996346030,3290
1703996346050,3312
1703996346070,3327
1703996346090,3315
1703996346110,3327
1703996346130,3303
1703996346150,3330
1703996346170,3345
1703996346190,3351
1703996346210,3363
1703996346230,3347
1703996346250,3358
1703996346270,3374
1703996346290,3375
1703996346310,3354
1703996346330,3383
1703996346350,3362
1703996346370,3333
1703996346390,3328
1703996346410,3302
1703996346430,3294
1703996346450,3289
1703996346470,3318
1703996346490,3331
1703996346510,3313
1703996346530,3312
1703996346550,3298
1703996346570,3303
1703996346590,3312
1703996346610,3307
1703996346630,3290
1703996346650,3297
1703996346670,3278
1703996346690,3309
1703996346710,3296
1703996346730,3293
1703996346750,3280
1703996346770,3232
1703996346790,3278
1703996346810,3276
1703996346830,3231
1703996346850,3246
1703996346870,3248
1703996346890,3249
1703996346910,3250
1703996346930,3268
1703996346950,3270
1703996346970,3300
1703996346990,3310
1703996347010,3300
1703996347030,3303
1703996347050,3318
1703996347070,3279
1703996347090,3309
1703996347110,3291
1703996347130,3280
1703996347150,3251
1703996347170,3239
1703996347190,3257
1703996347210,3255
1703996347230,3249
1703996347250,3245
1703996347270,3232
1703996347290,3266
1703996347310,3291
1703996347330,3312
1703996347350,3290
1703996347370,3310
1703996347390,3334
1703996347410,3348
1703996347430,3347
1703996347450,3331
1703996347470,3296
1703996347490,3269
1703996347510,3278
1703996347530,3266
1703996347550,3276
1703996347570,3269
1703996347590,3279
1703996347610,3273
1703996347630,3266
1703996347650,3280
1703996347670,3245
1703996347690,3266
1703996347710,3231
1703996347730,3245
1703996347750,3248
1703996347770,3266
1703996347790,3289
1703996347810,3327
1703996347830,3360
1703996347850,3408
1703996347870,3382
1703996347890,3376
1703996347910,3344
1703996347930,3344
1703996347950,3291
1703996347970,3262
1703996347990,3274
1703996348010,3262
1703996348030,3253
1703996348050,3248
1703996348070,3238
1703996348090,3242
1703996348110,3221
1703996348130,3222
1703996348150,3215
1703996348170,3221
1703996348190,3195
1703996348210,3225
1703996348230,3230
1703996348250,3234
1703996348270,3233
1703996348290,3233
1703996348310,3216
1703996348330,3218
1703996348350,3227
1703996348370,3228
1703996348390,3222
1703996348410,3225
1703996348430,3245
1703996348450,3238
1703996348470,3226
1703996348490,3211
1703996348510,3209
1703996348530,3229
1703996348550,3216
1703996348570,3218
1703996348590,3210
1703996348610,3230
1703996348630,3196
1703996348650,3213
1703996348670,3184
1703996348690,3191
1703996348710,3200
1703996348730,3206
1703996348750,3205
1703996348770,3231
1703996348790,3203
1703996348810,3238
1703996348830,3217
1703996348850,3229
1703996348870,3229
1703996348890,3217
1703996348910,3216
1703996348930,3206
1703996348950,3215
1703996348970,3202
1703996348990,3191
1703996349010,3168
1703996349030,3181
1703996349050,3185
1703996349070,3157
1703996349090,3161
1703996349110,3165
1703996349130,3175
1703996349150,3183
1703996349170,3159
1703996349190,3181
1703996349210,3182
1703996349230,3187
1703996349250,3184
1703996349270,3166
1703996349290,3153
1703996349310,3170
1703996349330,3139
1703996349350,3153
1703996349370,3159
1703996349390,3162
1703996349410,3187
1703996349430,3178
1703996349450,3183
1703996349470,3181
1703996349490,3182
1703996349510,3171
1703996349530,3161
1703996349550,3173
1703996349570,3171
1703996349590,3180
1703996349610,3159
1703996349630,3151
1703996349650,3146
1703996349670,3152
1703996349690,3133
1703996349710,3151
1703996349730,3165
1703996349750,3170
1703996349770,3153
1703996349790,3152
1703996349810,3149
1703996349830,3170
1703996349850,3151
1703996349870,3138
1703996349890,3131
1703996349910,3136
1703996349930,3148
1703996349950,3142
1703996349970,3141
1703996349990,3150
1703996350010,3152
1703996350030,3157
1703996350050,3152
1703996350070,3167
1703996350090,3129
1703996350110,3137
1703996350130,3109
1703996350150,3131
1703996350170,3134
1703996350190,3149
1703996350210,3136
1703996350230,3143
1703996350250,3135
1703996350270,3185
1703996350290,3158
1703996350310,3179
1703996350330,3184
1703996350350,3198
1703996350370,3169
1703996350390,3152
1703996350410,3130
1703996350430,3154
1703996350450,3166
1703996350470,3167
1703996350490,3171
1703996350510,3175
1703996350530,3142
1703996350550,3152
1703996350570,3152
1703996350590,3179
1703996350610,3202
1703996350630,3182
1703996350650,3197
1703996350670,3179
1703996350690,3170
1703996350710,3170
1703996350730,3170
1703996350750,3180
1703996350770,3144
1703996350790,3158
1703996350810,3162
1703996350830,3153
1703996350850,3133
1703996350870,3158
1703996350890,3175
1703996350910,3194
1703996350930,3194
1703996350950,3187
1703996350970,3216
1703996350990,3215
1703996351010,3220
1703996351030,3219
1703996351050,3193
1703996351070,3166
1703996351090,3199
1703996351110,3199
1703996351130,3206
1703996351150,3191
1703996351170,3204
1703996351190,3210
1703996351210,3229
1703996351230,3199
1703996351250,3195
1703996351270,3197
1703996351290,3218
1703996351310,3213
1703996351330,3182
1703996351350,3154
1703996351370,3147
1703996351390,3153
1703996351410,3174
1703996351430,3174
1703996351450,3178
1703996351470,3174
1703996351490,3168
1703996351510,3165
1703996351530,3190
1703996351550,3167
1703996351570,3168
1703996351590,3162
1703996351610,3153
1703996351630,3139
1703996351650,3119
1703996351670,3122
1703996351690,3116
1703996351710,3143
1703996351730,3166
1703996351750,3184
1703996351770,3172
1703996351790,3146
1703996351810,3125
1703996351830,3121
1703996351850,3123
1703996351870,3114
1703996351890,3107
1703996351910,3099
1703996351930,3093
1703996351950,3102
1703996351970,3103
1703996351990,3141
1703996352010,3120
1703996352030,3139
1703996352050,3143
1703996352070,3141
1703996352090,3130
1703996352110,3143
1703996352130,3152
1703996352150,3167
1703996352170,3145
1703996352190,3157
1703996352210,3138
1703996352230,3141
1703996352250,3117
1703996352270,3120
1703996352290,3107
1703996352310,3122
1703996352330,3138
1703996352350,3141
1703996352370,3136
1703996352390,3136
1703996352410,3157
1703996352430,3158
1703996352450,3152
1703996352470,3169
1703996352490,3171
1703996352510,3170
1703996352530,3161
1703996352550,3166
1703996352570,3162
1703996352590,3139
1703996352610,3125
1703996352630,3151
1703996352650,3170
1703996352670,3184
1703996352690,3175
1703996352710,3191
1703996352730,3187
1703996352750,3194
1703996352770,3197
1703996352790,3182
1703996352810,3137
1703996352830,3120
1703996352850,3098
1703996352870,3087
1703996352890,3063
1703996352910,3045
1703996352930,3060
1703996352950,3095
1703996352970,3118
1703996352990,3152
1703996353010,3138
1703996353030,3159
1703996353050,3134
1703996353070,3137
1703996353090,3167
1703996353110,3144
1703996353130,3146
1703996353150,3153
1703996353170,3167
1703996353190,3177
